EmployeeNumber,Variable,Value
764,Gender,Female
766,Gender,Male
769,Gender,Male
771,Gender,Female
772,Gender,Male
773,Gender,Male
775,Gender,Female
776,Gender,Male
780,Gender,Male
781,Gender,Female
783,Gender,Male
784,Gender,Male
785,Gender,Female
786,Gender,Male
787,Gender,Male
789,Gender,Male
791,Gender,Male
792,Gender,Female
793,Gender,Female
796,Gender,Male
797,Gender,Female
799,Gender,Female
800,Gender,Male
802,Gender,Female
803,Gender,Female
804,Gender,Female
805,Gender,Female
806,Gender,Male
807,Gender,Female
808,Gender,Female
809,Gender,Male
811,Gender,Male
812,Gender,Male
813,Gender,Female
815,Gender,Male
816,Gender,Female
817,Gender,Male
819,Gender,Female
820,Gender,Female
823,Gender,Female
824,Gender,Male
825,Gender,Male
826,Gender,Female
827,Gender,Female
828,Gender,Male
829,Gender,Male
830,Gender,Female
832,Gender,Male
833,Gender,Female
834,Gender,Female
836,Gender,Male
837,Gender,Male
838,Gender,Female
840,Gender,Female
842,Gender,Male
843,Gender,Male
844,Gender,Male
845,Gender,Male
846,Gender,Female
847,Gender,Male
848,Gender,Female
850,Gender,Male
851,Gender,Female
852,Gender,Male
854,Gender,Male
855,Gender,Male
856,Gender,Female
857,Gender,Male
859,Gender,Male
861,Gender,Male
862,Gender,Female
864,Gender,Male
865,Gender,Female
867,Gender,Female
868,Gender,Male
869,Gender,Male
872,Gender,Male
874,Gender,Male
875,Gender,Male
878,Gender,Male
879,Gender,Male
880,Gender,Female
881,Gender,Female
882,Gender,Male
885,Gender,Male
887,Gender,Female
888,Gender,Male
889,Gender,Male
893,Gender,Male
894,Gender,Female
895,Gender,Male
896,Gender,Female
897,Gender,Male
899,Gender,Male
900,Gender,Female
901,Gender,Female
902,Gender,Female
903,Gender,Female
904,Gender,Male
905,Gender,Male
909,Gender,Female
910,Gender,Male
911,Gender,Male
912,Gender,Female
913,Gender,Male
916,Gender,Male
918,Gender,Male
920,Gender,Female
922,Gender,Female
923,Gender,Female
924,Gender,Male
925,Gender,Female
926,Gender,Female
927,Gender,Female
930,Gender,Female
932,Gender,Male
933,Gender,Female
934,Gender,Male
936,Gender,Female
939,Gender,Male
940,Gender,Female
941,Gender,Male
942,Gender,Female
944,Gender,Female
945,Gender,Male
947,Gender,Female
949,Gender,Male
950,Gender,Female
951,Gender,Female
952,Gender,Male
954,Gender,Male
956,Gender,Male
957,Gender,Male
958,Gender,Male
959,Gender,Male
960,Gender,Male
961,Gender,Female
964,Gender,Male
966,Gender,Female
967,Gender,Male
969,Gender,Female
970,Gender,Male
972,Gender,Male
974,Gender,Female
975,Gender,Female
976,Gender,Male
977,Gender,Male
981,Gender,Male
982,Gender,Male
983,Gender,Female
984,Gender,Male
985,Gender,Male
986,Gender,Female
987,Gender,Male
990,Gender,Male
991,Gender,Male
992,Gender,Male
994,Gender,Female
995,Gender,Female
996,Gender,Female
997,Gender,Male
998,Gender,Female
999,Gender,Male
1001,Gender,Female
1002,Gender,Male
1003,Gender,Female
1004,Gender,Female
1005,Gender,Male
1006,Gender,Male
1007,Gender,Male
1009,Gender,Female
1010,Gender,Male
1011,Gender,Female
1012,Gender,Male
1013,Gender,Female
1014,Gender,Female
1015,Gender,Female
1016,Gender,Female
1017,Gender,Female
1018,Gender,Male
1019,Gender,Male
1022,Gender,Male
1024,Gender,Male
1025,Gender,Female
1026,Gender,Female
1027,Gender,Female
1028,Gender,Male
1029,Gender,Male
1030,Gender,Male
1032,Gender,Female
1033,Gender,Female
1034,Gender,Male
1035,Gender,Female
1036,Gender,Male
1037,Gender,Male
1038,Gender,Female
1039,Gender,Female
1040,Gender,Female
1042,Gender,Female
1043,Gender,Female
1044,Gender,Female
1045,Gender,Female
1046,Gender,Female
1047,Gender,Male
1048,Gender,Male
1049,Gender,Male
1050,Gender,Female
1052,Gender,Male
1053,Gender,Male
1055,Gender,Female
1056,Gender,Male
1060,Gender,Male
1061,Gender,Male
1062,Gender,Female
1066,Gender,Male
1068,Gender,Female
1069,Gender,Male
1070,Gender,Female
1071,Gender,Female
1073,Gender,Female
1074,Gender,Male
1076,Gender,Male
1077,Gender,Female
1079,Gender,Female
1080,Gender,Female
1081,Gender,Male
1082,Gender,Male
1083,Gender,Male
1084,Gender,Male
1085,Gender,Female
1088,Gender,Female
1092,Gender,Male
1094,Gender,Male
1096,Gender,Male
1097,Gender,Female
1098,Gender,Male
1099,Gender,Male
1100,Gender,Male
1101,Gender,Female
1102,Gender,Male
1103,Gender,Male
1105,Gender,Female
1106,Gender,Male
1107,Gender,Male
1108,Gender,Male
1109,Gender,Male
1111,Gender,Male
1113,Gender,Male
1114,Gender,Female
1115,Gender,Male
1116,Gender,Male
1117,Gender,Female
1118,Gender,Male
1119,Gender,Male
1120,Gender,Female
1121,Gender,Female
1124,Gender,Male
1125,Gender,Male
1126,Gender,Female
1127,Gender,Male
1128,Gender,Male
1131,Gender,Female
1132,Gender,Male
1133,Gender,Male
1135,Gender,Male
1136,Gender,Male
1137,Gender,Male
1138,Gender,Male
1140,Gender,Male
1143,Gender,Female
1148,Gender,Male
1150,Gender,Male
1152,Gender,Male
1154,Gender,Male
1156,Gender,Male
1157,Gender,Female
1158,Gender,Male
1160,Gender,Male
1161,Gender,Female
1162,Gender,Male
1163,Gender,Female
1164,Gender,Male
1165,Gender,Female
1166,Gender,Female
1167,Gender,Male
1171,Gender,Male
1172,Gender,Male
1173,Gender,Male
1175,Gender,Female
1177,Gender,Male
1179,Gender,Male
1180,Gender,Female
1182,Gender,Male
1184,Gender,Male
1185,Gender,Male
1188,Gender,Female
1190,Gender,Female
1191,Gender,Female
1192,Gender,Female
1193,Gender,Male
1195,Gender,Female
1196,Gender,Female
1198,Gender,Male
1200,Gender,Male
1201,Gender,Female
1202,Gender,Female
1203,Gender,Male
1204,Gender,Female
1206,Gender,Male
1207,Gender,Male
1210,Gender,Male
1211,Gender,Male
1212,Gender,Male
1215,Gender,Female
1216,Gender,Male
1217,Gender,Male
1218,Gender,Male
1219,Gender,Female
1220,Gender,Female
1221,Gender,Male
1224,Gender,Male
1225,Gender,Male
1226,Gender,Male
1228,Gender,Male
1231,Gender,Male
1233,Gender,Male
1234,Gender,Female
1235,Gender,Female
1237,Gender,Female
1238,Gender,Male
1239,Gender,Female
1240,Gender,Male
1241,Gender,Male
1242,Gender,Female
1243,Gender,Female
1244,Gender,Male
1245,Gender,Female
1246,Gender,Female
1248,Gender,Female
1249,Gender,Female
1250,Gender,Male
1251,Gender,Male
1252,Gender,Female
1254,Gender,Female
1255,Gender,Male
1256,Gender,Male
1257,Gender,Male
1258,Gender,Male
1259,Gender,Male
1260,Gender,Male
1263,Gender,Male
1264,Gender,Female
1265,Gender,Female
1267,Gender,Male
1268,Gender,Male
1269,Gender,Female
1270,Gender,Male
1273,Gender,Male
1275,Gender,Male
1277,Gender,Female
1278,Gender,Male
1279,Gender,Female
1280,Gender,Female
1281,Gender,Female
1282,Gender,Male
1283,Gender,Male
1285,Gender,Female
1286,Gender,Male
1288,Gender,Male
1289,Gender,Male
1291,Gender,Male
1292,Gender,Female
1293,Gender,Female
1294,Gender,Female
1295,Gender,Female
1296,Gender,Male
1297,Gender,Female
1298,Gender,Female
1299,Gender,Female
1301,Gender,Male
1303,Gender,Female
1304,Gender,Male
1306,Gender,Female
1307,Gender,Female
1308,Gender,Male
1309,Gender,Male
1310,Gender,Male
1311,Gender,Female
1312,Gender,Female
1314,Gender,Female
1315,Gender,Female
1317,Gender,Female
1318,Gender,Male
1319,Gender,Male
1321,Gender,Female
1322,Gender,Male
1324,Gender,Female
1329,Gender,Male
1331,Gender,Female
1333,Gender,Male
1334,Gender,Male
1336,Gender,Female
1338,Gender,Male
1340,Gender,Male
1344,Gender,Male
1346,Gender,Male
1349,Gender,Female
1350,Gender,Male
1352,Gender,Male
1355,Gender,Female
1356,Gender,Female
1358,Gender,Male
1360,Gender,Female
1361,Gender,Male
1362,Gender,Female
1363,Gender,Male
1364,Gender,Female
1367,Gender,Female
1368,Gender,Female
1369,Gender,Female
1371,Gender,Male
1372,Gender,Male
1373,Gender,Male
1374,Gender,Female
1375,Gender,Female
1377,Gender,Male
1379,Gender,Female
1380,Gender,Female
1382,Gender,Male
1383,Gender,Female
1387,Gender,Male
1389,Gender,Male
1390,Gender,Male
1391,Gender,Male
1392,Gender,Female
1394,Gender,Male
1395,Gender,Male
1396,Gender,Male
1397,Gender,Male
1399,Gender,Male
1401,Gender,Female
1402,Gender,Female
1403,Gender,Female
1405,Gender,Female
1407,Gender,Male
1408,Gender,Female
1409,Gender,Female
1411,Gender,Female
1412,Gender,Male
1415,Gender,Male
1417,Gender,Male
1419,Gender,Male
1420,Gender,Male
1421,Gender,Female
1422,Gender,Female
1423,Gender,Female
1424,Gender,Male
1425,Gender,Female
1427,Gender,Female
1428,Gender,Female
1430,Gender,Female
1431,Gender,Male
1433,Gender,Female
1434,Gender,Male
1435,Gender,Male
1436,Gender,Female
1438,Gender,Male
1439,Gender,Male
1440,Gender,Male
1441,Gender,Female
1443,Gender,Female
1445,Gender,Female
1446,Gender,Male
1447,Gender,Female
1448,Gender,Male
1449,Gender,Male
1453,Gender,Male
1457,Gender,Male
1458,Gender,Female
1459,Gender,Female
1460,Gender,Male
1461,Gender,Female
1464,Gender,Male
1465,Gender,Male
1466,Gender,Male
1467,Gender,Female
1468,Gender,Male
1469,Gender,Male
1471,Gender,Male
1472,Gender,Male
1473,Gender,Male
1474,Gender,Male
1475,Gender,Male
1477,Gender,Male
1478,Gender,Male
1479,Gender,Male
1480,Gender,Female
1481,Gender,Female
1482,Gender,Male
1483,Gender,Male
1484,Gender,Male
1485,Gender,Male
1486,Gender,Male
1487,Gender,Female
1489,Gender,Female
1492,Gender,Male
1494,Gender,Male
1495,Gender,Female
1496,Gender,Male
1497,Gender,Male
1499,Gender,Male
1501,Gender,Male
1502,Gender,Female
1503,Gender,Female
1504,Gender,Male
1506,Gender,Male
1507,Gender,Male
1509,Gender,Female
1513,Gender,Female
1514,Gender,Male
1515,Gender,Male
1516,Gender,Male
1520,Gender,Female
1522,Gender,Male
1523,Gender,Male
1525,Gender,Female
1527,Gender,Female
1529,Gender,Female
1533,Gender,Male
1534,Gender,Male
1535,Gender,Male
1537,Gender,Female
1539,Gender,Male
1541,Gender,Male
1542,Gender,Male
1543,Gender,Male
1544,Gender,Female
1545,Gender,Male
1546,Gender,Male
1547,Gender,Male
1548,Gender,Male
1549,Gender,Male
1550,Gender,Male
1551,Gender,Male
1552,Gender,Male
1553,Gender,Male
1554,Gender,Female
1555,Gender,Female
1556,Gender,Male
1557,Gender,Female
1558,Gender,Male
1560,Gender,Male
1562,Gender,Male
1563,Gender,Male
1564,Gender,Male
1568,Gender,Male
1569,Gender,Female
1572,Gender,Female
1573,Gender,Male
1574,Gender,Male
1576,Gender,Female
1577,Gender,Male
1578,Gender,Male
1580,Gender,Male
1581,Gender,Female
1582,Gender,Male
1583,Gender,Female
1585,Gender,Female
1586,Gender,Male
1587,Gender,Female
1588,Gender,Male
1590,Gender,Male
1591,Gender,Male
1592,Gender,Male
1594,Gender,Male
1595,Gender,Male
1596,Gender,Male
1597,Gender,Male
1598,Gender,Female
1599,Gender,Male
1601,Gender,Male
1602,Gender,Male
1604,Gender,Male
1605,Gender,Female
1606,Gender,Male
1607,Gender,Female
1608,Gender,Female
1609,Gender,Male
1611,Gender,Female
1612,Gender,Male
1613,Gender,Male
1614,Gender,Female
1615,Gender,Male
1617,Gender,Female
1618,Gender,Male
1619,Gender,Male
1621,Gender,Male
1622,Gender,Female
1623,Gender,Male
1624,Gender,Female
1625,Gender,Female
1627,Gender,Male
1628,Gender,Female
1630,Gender,Female
1631,Gender,Male
1633,Gender,Female
1635,Gender,Female
1638,Gender,Female
1639,Gender,Male
1640,Gender,Female
1641,Gender,Female
1642,Gender,Male
1644,Gender,Male
1645,Gender,Male
1646,Gender,Female
1647,Gender,Female
1648,Gender,Male
1649,Gender,Male
1650,Gender,Male
1651,Gender,Female
1653,Gender,Male
1654,Gender,Male
1655,Gender,Female
1656,Gender,Female
1657,Gender,Female
1658,Gender,Female
1659,Gender,Male
1661,Gender,Female
1662,Gender,Female
1664,Gender,Male
1665,Gender,Female
1666,Gender,Male
1667,Gender,Male
1668,Gender,Male
1669,Gender,Male
1670,Gender,Male
1671,Gender,Male
1673,Gender,Female
1674,Gender,Female
1675,Gender,Female
1676,Gender,Female
1677,Gender,Male
1678,Gender,Male
1680,Gender,Male
1681,Gender,Female
1682,Gender,Male
1683,Gender,Female
1684,Gender,Male
1687,Gender,Female
1689,Gender,Male
1691,Gender,Female
1692,Gender,Male
1693,Gender,Male
1694,Gender,Male
1696,Gender,Male
1697,Gender,Male
1698,Gender,Male
1700,Gender,Male
1701,Gender,Female
1702,Gender,Male
1703,Gender,Female
1704,Gender,Male
1706,Gender,Male
1707,Gender,Male
1708,Gender,Male
1709,Gender,Female
1710,Gender,Female
1712,Gender,Male
1714,Gender,Male
1716,Gender,Male
1718,Gender,Male
1719,Gender,Female
1720,Gender,Male
1721,Gender,Male
1722,Gender,Male
1724,Gender,Female
1725,Gender,Male
1727,Gender,Male
1728,Gender,Male
1729,Gender,Male
1731,Gender,Male
1732,Gender,Male
1733,Gender,Male
1734,Gender,Male
1735,Gender,Female
1736,Gender,Female
1737,Gender,Male
1739,Gender,Male
1740,Gender,Male
1744,Gender,Female
1745,Gender,Female
1746,Gender,Male
1747,Gender,Female
1749,Gender,Male
1751,Gender,Female
1752,Gender,Female
1753,Gender,Male
1754,Gender,Male
1755,Gender,Male
1756,Gender,Female
1757,Gender,Female
1758,Gender,Female
1760,Gender,Female
1761,Gender,Male
1762,Gender,Female
1763,Gender,Male
1764,Gender,Male
1766,Gender,Male
1767,Gender,Male
1768,Gender,Male
1770,Gender,Male
1771,Gender,Male
1772,Gender,Male
1774,Gender,Male
1775,Gender,Female
1778,Gender,Male
1779,Gender,Female
1780,Gender,Male
1782,Gender,Female
1783,Gender,Female
1784,Gender,Female
1786,Gender,Female
1787,Gender,Male
1789,Gender,Male
1790,Gender,Male
1792,Gender,Male
1794,Gender,Male
1797,Gender,Male
1798,Gender,Male
1799,Gender,Male
1800,Gender,Male
1801,Gender,Male
1802,Gender,Female
1803,Gender,Male
1804,Gender,Male
1805,Gender,Male
1807,Gender,Male
1809,Gender,Male
1812,Gender,Male
1813,Gender,Male
1814,Gender,Male
1815,Gender,Female
1816,Gender,Female
1818,Gender,Female
1821,Gender,Female
1822,Gender,Female
1823,Gender,Male
1824,Gender,Male
1826,Gender,Male
1827,Gender,Female
1829,Gender,Female
1830,Gender,Female
1833,Gender,Female
1834,Gender,Female
1835,Gender,Female
1836,Gender,Male
1837,Gender,Male
1839,Gender,Female
1842,Gender,Male
1844,Gender,Male
1845,Gender,Female
1847,Gender,Female
1849,Gender,Male
1850,Gender,Female
1852,Gender,Male
1853,Gender,Male
1854,Gender,Male
1856,Gender,Female
1857,Gender,Male
1858,Gender,Male
1859,Gender,Male
1860,Gender,Male
1862,Gender,Male
1863,Gender,Female
1864,Gender,Female
1865,Gender,Male
1866,Gender,Female
1867,Gender,Male
1868,Gender,Male
1869,Gender,Female
1870,Gender,Female
1871,Gender,Male
1873,Gender,Male
1875,Gender,Female
1876,Gender,Male
1878,Gender,Male
1880,Gender,Female
1881,Gender,Male
1882,Gender,Male
1883,Gender,Male
1885,Gender,Male
1886,Gender,Female
1888,Gender,Female
1890,Gender,Male
1892,Gender,Male
1893,Gender,Female
1898,Gender,Female
1900,Gender,Female
1903,Gender,Male
1905,Gender,Male
1907,Gender,Male
1908,Gender,Male
1909,Gender,Female
1911,Gender,Male
1912,Gender,Female
1915,Gender,Female
1916,Gender,Female
1918,Gender,Male
1922,Gender,Male
1924,Gender,Male
1927,Gender,Male
1928,Gender,Male
1929,Gender,Female
1931,Gender,Male
1932,Gender,Male
1933,Gender,Female
1934,Gender,Male
1935,Gender,Female
1936,Gender,Male
1937,Gender,Female
1938,Gender,Female
1939,Gender,Female
1940,Gender,Male
1941,Gender,Male
1943,Gender,Male
1944,Gender,Female
1945,Gender,Male
1947,Gender,Male
1948,Gender,Male
1949,Gender,Male
1950,Gender,Male
1951,Gender,Male
1952,Gender,Male
1954,Gender,Male
1955,Gender,Female
1956,Gender,Male
1960,Gender,Male
1961,Gender,Male
1962,Gender,Female
1965,Gender,Male
1966,Gender,Male
1967,Gender,Male
1968,Gender,Male
1969,Gender,Female
1970,Gender,Male
1971,Gender,Male
1972,Gender,Male
1973,Gender,Male
1974,Gender,Female
1975,Gender,Male
1976,Gender,Male
1979,Gender,Female
1980,Gender,Female
1981,Gender,Male
1982,Gender,Male
1985,Gender,Female
1986,Gender,Female
1987,Gender,Female
1989,Gender,Male
1992,Gender,Male
1993,Gender,Male
1994,Gender,Male
1995,Gender,Male
1996,Gender,Male
1997,Gender,Male
1998,Gender,Male
1999,Gender,Male
2000,Gender,Female
2003,Gender,Male
2007,Gender,Male
2008,Gender,Male
2009,Gender,Female
2010,Gender,Female
2012,Gender,Male
2013,Gender,Male
2014,Gender,Male
2015,Gender,Female
2016,Gender,Female
2017,Gender,Female
2018,Gender,Female
2019,Gender,Male
2020,Gender,Male
2021,Gender,Male
2022,Gender,Male
2023,Gender,Male
2024,Gender,Female
2025,Gender,Female
2026,Gender,Male
2027,Gender,Male
2031,Gender,Male
2032,Gender,Male
2034,Gender,Female
2035,Gender,Female
2036,Gender,Male
2037,Gender,Male
2038,Gender,Male
2040,Gender,Female
2041,Gender,Female
2044,Gender,Male
2045,Gender,Female
2046,Gender,Female
2048,Gender,Male
2049,Gender,Male
2051,Gender,Female
2052,Gender,Female
2053,Gender,Male
2054,Gender,Female
2055,Gender,Male
2056,Gender,Female
2057,Gender,Male
2060,Gender,Female
2061,Gender,Male
2062,Gender,Male
2064,Gender,Male
