,BusinessTravel,DailyRate,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35,Travel_Frequently,721,57,3,58,3,2,Laboratory Technician,4,4011,10781,1,Y,No,23,4,80,0,12,2,3,12,8,3,7
36,Travel_Rarely,1360,58,2,49,3,5,Research Director,3,19545,16280,1,Y,No,12,3,80,0,23,0,3,22,15,15,8
37,Travel_Rarely,408,61,2,73,3,1,Research Scientist,2,3022,10227,4,Y,No,21,4,80,0,8,1,3,1,0,0,0
38,Travel_Rarely,1229,63,4,36,4,1,Laboratory Technician,4,2269,4892,1,Y,No,19,3,80,0,1,2,3,1,0,0,1
39,Travel_Rarely,626,64,1,98,2,3,Laboratory Technician,3,5381,19294,9,Y,Yes,13,3,80,0,23,2,3,1,0,0,0
40,Travel_Rarely,1434,65,3,50,3,1,Laboratory Technician,3,3441,11179,1,Y,Yes,13,3,80,0,2,3,2,2,2,2,2
41,Non-Travel,1097,70,3,79,2,3,Healthcare Representative,1,9884,8302,2,Y,Yes,13,3,80,1,10,3,3,4,0,2,3
42,Travel_Frequently,515,73,1,98,3,3,Research Director,4,13458,15146,1,Y,Yes,12,3,80,0,15,1,3,15,14,8,12
43,Travel_Rarely,1142,75,3,30,3,1,Laboratory Technician,1,4014,16002,3,Y,Yes,15,3,80,1,4,3,3,2,2,2,2
44,Travel_Rarely,655,76,4,48,3,2,Laboratory Technician,4,5915,9528,3,Y,No,22,4,80,1,10,3,2,7,7,1,7
45,Travel_Rarely,1115,77,1,51,2,2,Manufacturing Director,3,5993,2689,1,Y,No,18,3,80,1,7,2,4,7,5,0,7
46,Travel_Rarely,427,78,1,33,3,2,Manufacturing Director,4,6162,10877,1,Y,Yes,22,4,80,1,9,3,3,9,8,7,8
47,Travel_Frequently,653,79,4,50,3,2,Laboratory Technician,4,2406,5456,1,Y,No,11,3,80,0,10,2,3,10,3,9,9
48,Travel_Rarely,989,80,2,43,2,5,Research Director,3,18740,16701,5,Y,Yes,12,3,80,1,29,2,2,27,3,13,8
49,Travel_Rarely,1223,83,3,59,3,3,Healthcare Representative,3,10096,8202,1,Y,No,13,3,80,3,17,2,3,17,14,12,8
50,Travel_Rarely,836,84,4,33,3,4,Manager,3,14756,19730,2,Y,Yes,14,3,80,3,21,2,3,5,0,0,2
51,Travel_Frequently,1195,85,2,95,2,2,Manufacturing Director,2,6499,22656,1,Y,No,13,3,80,0,6,3,3,6,5,0,3
52,Travel_Rarely,1339,86,2,59,3,3,Research Scientist,1,9724,18787,2,Y,No,17,3,80,1,25,2,3,1,0,0,0
53,Travel_Frequently,664,88,2,79,3,1,Research Scientist,1,2194,5868,4,Y,No,13,3,80,1,5,2,2,3,2,1,2
54,Travel_Rarely,318,90,4,79,2,1,Research Scientist,3,3388,21777,0,Y,Yes,17,3,80,1,2,0,2,1,0,0,0
55,Travel_Rarely,1328,94,3,76,3,1,Research Scientist,2,2703,4956,0,Y,No,23,4,80,1,6,3,3,5,4,0,4
56,Travel_Rarely,1082,95,3,87,3,1,Research Scientist,2,2501,18775,1,Y,No,17,3,80,0,1,4,3,1,1,1,0
57,Travel_Rarely,548,96,2,66,3,2,Research Scientist,2,6220,7346,1,Y,No,17,3,80,2,10,3,3,10,4,0,9
58,Travel_Rarely,132,97,2,55,4,1,Laboratory Technician,4,3038,22002,3,Y,No,12,3,80,0,5,3,3,1,0,0,0
59,Travel_Rarely,746,98,3,61,3,2,Manufacturing Director,4,4424,20682,1,Y,No,23,4,80,0,11,2,3,11,7,1,8
60,Travel_Rarely,193,101,4,52,3,3,Research Director,1,13245,15067,4,Y,Yes,14,3,80,0,17,3,4,0,0,0,0
61,Travel_Rarely,397,102,1,30,3,3,Research Director,3,13664,25258,4,Y,No,13,3,80,0,16,3,4,5,2,0,2
62,Travel_Rarely,852,104,4,55,2,2,Laboratory Technician,4,5126,15998,1,Y,Yes,12,3,80,2,10,1,2,10,8,3,0
63,Travel_Rarely,1214,105,2,30,2,1,Research Scientist,3,2859,26278,1,Y,No,18,3,80,0,6,3,3,6,4,0,4
64,Non-Travel,573,107,2,79,1,2,Research Scientist,4,5329,15717,7,Y,Yes,12,3,80,3,17,3,3,13,11,1,9
65,Travel_Rarely,1153,110,1,94,3,2,Manufacturing Director,2,4325,17736,1,Y,No,15,3,80,0,5,2,3,5,2,1,3
66,Travel_Rarely,1400,112,4,49,1,3,Manufacturing Director,4,7260,21698,4,Y,No,11,3,80,0,37,3,2,6,4,0,2
67,Travel_Rarely,432,116,4,96,3,1,Laboratory Technician,4,2075,18725,3,Y,No,23,4,80,2,10,4,3,4,2,0,3
68,Travel_Rarely,288,117,3,99,2,2,Healthcare Representative,4,4152,15830,1,Y,No,19,3,80,3,11,3,3,11,10,10,8
69,Travel_Frequently,530,119,3,78,2,4,Healthcare Representative,2,13503,14115,1,Y,No,22,4,80,1,22,3,2,22,3,11,11
70,Travel_Frequently,638,124,3,40,2,3,Healthcare Representative,1,10673,3142,2,Y,Yes,13,3,80,1,21,5,2,10,9,9,5
71,Travel_Rarely,1217,126,1,60,3,3,Research Director,3,13549,24001,9,Y,No,12,3,80,1,16,5,1,4,3,0,3
72,Non-Travel,489,132,2,67,3,2,Laboratory Technician,2,2042,25043,4,Y,No,12,3,80,1,17,3,4,3,2,1,2
73,Travel_Rarely,827,134,4,71,3,1,Research Scientist,1,2956,15178,1,Y,No,13,3,80,0,1,2,3,1,0,0,0
74,Travel_Frequently,871,137,4,66,2,1,Laboratory Technician,4,2926,19783,1,Y,Yes,18,3,80,0,1,5,3,1,0,1,0
75,Travel_Rarely,665,138,1,41,3,2,Research Scientist,3,4809,12482,1,Y,No,14,3,80,0,16,3,3,16,13,2,10
76,Non-Travel,1040,139,3,100,2,2,Healthcare Representative,4,5163,15850,5,Y,No,14,3,80,1,17,2,4,1,0,0,0
77,Travel_Frequently,1115,141,1,73,3,5,Research Director,2,18172,9755,3,Y,Yes,19,3,80,0,28,1,2,8,3,0,7
78,Travel_Rarely,1280,143,4,64,2,1,Research Scientist,4,2889,26897,1,Y,No,11,3,80,2,2,2,3,2,2,2,1
79,Travel_Rarely,534,144,2,59,3,1,Laboratory Technician,4,2871,23785,1,Y,No,15,3,80,0,1,5,3,0,0,0,0
80,Travel_Frequently,1456,145,1,30,2,3,Healthcare Representative,1,7484,25796,3,Y,No,20,4,80,0,23,1,2,13,12,12,8
81,Travel_Frequently,658,147,1,66,1,2,Laboratory Technician,3,6074,22887,1,Y,Yes,24,4,80,0,9,3,3,9,7,0,6
82,Travel_Rarely,1127,150,2,52,3,1,Laboratory Technician,3,2774,13257,0,Y,No,12,3,80,1,6,2,3,5,3,1,2
83,Travel_Rarely,1031,151,3,45,2,2,Research Scientist,2,4505,15000,6,Y,No,15,3,80,1,12,3,3,1,0,0,0
84,Travel_Rarely,1354,153,3,45,2,3,Manager,1,11631,5615,2,Y,No,12,3,80,0,14,6,3,11,10,5,8
85,Travel_Rarely,922,155,1,39,3,1,Laboratory Technician,4,2835,2561,5,Y,No,22,4,80,1,7,2,3,1,0,0,0
86,Travel_Frequently,1312,159,1,96,1,1,Research Scientist,3,2613,22310,1,Y,No,25,4,80,3,10,2,2,10,7,0,9
87,Travel_Rarely,441,161,2,72,3,1,Research Scientist,2,4963,4510,9,Y,Yes,18,3,80,3,7,2,3,5,4,4,3
88,Travel_Rarely,684,162,1,51,3,5,Research Director,3,19537,6462,7,Y,No,13,3,80,0,23,5,3,20,18,15,15
89,Travel_Rarely,841,164,3,46,2,1,Research Scientist,2,2368,23300,1,Y,No,19,3,80,0,5,3,2,5,4,4,3
90,Travel_Rarely,147,165,4,94,3,3,Healthcare Representative,4,10312,3465,1,Y,No,12,3,80,1,40,3,2,40,10,15,6
91,Travel_Rarely,594,169,3,100,3,1,Laboratory Technician,4,2523,19299,0,Y,No,14,3,80,1,3,2,3,2,1,2,1
92,Travel_Rarely,470,170,3,96,3,2,Manufacturing Director,1,6567,5549,1,Y,No,14,3,80,0,16,2,2,15,11,5,11
93,Travel_Frequently,957,171,2,72,4,1,Research Scientist,3,4739,16090,4,Y,No,12,3,80,0,18,2,3,3,2,1,2
94,Travel_Rarely,216,178,2,84,3,2,Manufacturing Director,2,4941,2819,6,Y,No,20,4,80,2,7,0,3,3,2,0,1
95,Travel_Frequently,1150,179,1,53,1,3,Manufacturing Director,4,10650,25150,2,Y,No,15,3,80,0,18,2,3,4,2,0,3
96,Travel_Rarely,1033,190,1,41,3,1,Laboratory Technician,1,4200,10224,7,Y,No,22,4,80,0,10,2,4,5,4,0,4
97,Travel_Rarely,1316,192,3,83,3,1,Research Scientist,4,3452,9752,5,Y,No,13,3,80,0,9,2,2,6,5,0,3
98,Travel_Rarely,364,193,4,32,3,2,Research Scientist,3,4317,2302,3,Y,Yes,20,4,80,0,19,2,3,3,2,2,2
99,Travel_Rarely,438,194,1,75,3,1,Research Scientist,3,2632,23910,1,Y,No,14,3,80,0,5,4,2,5,4,0,4
100,Travel_Rarely,201,197,4,84,3,1,Research Scientist,1,3204,10415,5,Y,No,14,3,80,1,8,3,3,3,2,2,2
101,Travel_Rarely,1427,198,2,35,2,1,Laboratory Technician,4,2720,11162,0,Y,No,13,3,80,0,6,3,3,5,3,1,2
102,Travel_Frequently,857,199,4,91,2,4,Manager,1,17181,12888,4,Y,No,13,3,80,1,21,2,2,7,6,7,7
103,Travel_Rarely,933,200,3,94,3,1,Laboratory Technician,1,2238,6961,2,Y,No,21,4,80,1,7,2,3,5,0,1,4
104,Travel_Rarely,1181,201,2,79,3,1,Laboratory Technician,2,1483,16102,1,Y,No,14,3,80,0,1,3,3,1,0,0,0
105,Travel_Frequently,1395,202,2,54,3,2,Research Scientist,2,5605,8504,1,Y,No,11,3,80,1,20,2,3,20,7,2,13
106,Travel_Rarely,194,206,2,60,3,2,Laboratory Technician,2,2348,10901,8,Y,No,18,3,80,1,20,2,1,17,9,0,15
107,Non-Travel,1496,208,4,41,3,2,Manufacturing Director,3,4319,26283,1,Y,No,13,3,80,1,10,1,3,10,7,0,9
108,Travel_Rarely,1169,211,2,34,2,2,Manufacturing Director,3,6132,13983,2,Y,No,17,3,80,0,10,2,3,1,0,0,0
109,Travel_Rarely,1145,214,2,75,2,1,Research Scientist,2,3346,11873,4,Y,Yes,20,4,80,1,9,3,2,1,0,0,0
110,Travel_Rarely,1256,217,3,80,3,1,Research Scientist,4,2323,11992,1,Y,No,24,4,80,2,2,6,3,2,2,2,2
111,Non-Travel,691,218,4,57,3,1,Research Scientist,2,2024,5970,6,Y,No,18,3,80,1,6,1,1,2,2,2,2
112,Travel_Rarely,440,221,3,42,3,1,Research Scientist,4,2713,6672,1,Y,No,11,3,80,1,5,2,1,5,2,0,2
113,Travel_Rarely,334,223,3,83,4,3,Healthcare Representative,4,9439,23402,3,Y,Yes,16,3,80,1,12,2,1,5,3,1,4
114,Non-Travel,1450,224,3,79,2,1,Research Scientist,3,2566,25326,1,Y,Yes,15,3,80,1,1,2,2,1,1,0,1
115,Travel_Rarely,1452,226,3,53,3,5,Manager,2,19926,17053,3,Y,No,15,3,80,0,21,5,3,5,4,4,4
116,Travel_Rarely,465,227,1,56,3,1,Research Scientist,3,2451,4609,4,Y,No,12,3,80,1,13,2,3,9,8,1,8
117,Travel_Rarely,120,231,3,43,3,1,Research Scientist,3,3038,12430,3,Y,No,20,4,80,0,8,2,3,5,4,1,4
118,Travel_Rarely,1157,233,3,51,3,1,Research Scientist,2,3058,13364,0,Y,Yes,16,3,80,1,6,3,2,5,2,1,1
119,Travel_Frequently,1480,238,4,30,3,1,Laboratory Technician,2,2088,15062,4,Y,No,12,3,80,0,13,3,2,8,7,7,2
120,Non-Travel,111,239,3,66,3,2,Laboratory Technician,1,3072,11012,1,Y,No,11,3,80,2,12,4,3,12,9,6,10
121,Travel_Rarely,713,241,3,67,3,1,Research Scientist,1,4257,13939,4,Y,Yes,18,3,80,1,19,3,3,2,2,2,2
122,Travel_Rarely,134,242,3,90,3,1,Research Scientist,4,2500,10515,0,Y,No,14,3,80,0,4,2,4,3,1,0,2
123,Travel_Rarely,303,243,2,47,2,1,Laboratory Technician,4,1102,9241,1,Y,No,22,4,80,0,1,3,2,1,0,1,0
124,Travel_Rarely,1380,245,3,75,3,1,Laboratory Technician,4,2288,6319,1,Y,No,12,3,80,0,2,3,3,2,2,2,1
125,Travel_Rarely,140,246,3,95,3,1,Research Scientist,4,3929,6984,8,Y,Yes,23,4,80,1,7,0,3,4,2,0,2
126,Travel_Rarely,629,247,4,95,3,1,Research Scientist,2,2311,5711,2,Y,No,15,3,80,0,9,3,3,3,2,1,2
127,Travel_Rarely,328,249,3,86,2,1,Laboratory Technician,3,3690,3425,2,Y,No,15,3,80,1,5,2,2,3,2,0,2
128,Travel_Rarely,1084,250,4,57,4,2,Manufacturing Director,1,4450,26250,1,Y,No,11,3,80,2,5,3,3,4,2,1,3
129,Travel_Rarely,931,252,4,72,3,1,Research Scientist,2,2756,4673,1,Y,No,13,3,80,1,8,5,3,8,7,1,6
130,Travel_Rarely,989,253,4,46,3,5,Manager,3,19033,6499,1,Y,No,14,3,80,1,21,2,3,20,8,9,9
131,Travel_Rarely,692,254,3,61,4,5,Research Director,2,18722,13339,8,Y,No,11,3,80,0,36,3,3,24,15,2,15
132,Travel_Frequently,1069,256,4,45,2,2,Manufacturing Director,3,9547,14074,1,Y,No,17,3,80,0,10,2,2,10,9,1,9
133,Travel_Rarely,313,258,4,98,3,4,Healthcare Representative,2,13734,7192,3,Y,No,18,3,80,0,21,6,3,7,7,1,0
134,Travel_Rarely,699,259,3,65,2,5,Manager,3,19999,5678,0,Y,No,14,3,80,1,34,5,3,33,18,11,9
135,Travel_Rarely,894,260,4,99,3,1,Research Scientist,2,2279,11781,1,Y,No,16,3,80,0,7,2,2,7,7,0,3
136,Travel_Rarely,556,261,2,50,2,2,Manufacturing Director,3,5916,15497,3,Y,Yes,13,3,80,0,8,1,3,1,0,0,1
137,Non-Travel,1344,262,4,37,4,1,Research Scientist,4,2089,5228,4,Y,No,14,3,80,3,7,3,4,5,4,2,2
138,Non-Travel,1195,264,1,65,2,4,Manager,4,16792,20462,9,Y,No,23,4,80,1,22,1,3,20,8,11,8
139,Travel_Rarely,290,267,2,65,4,1,Research Scientist,1,3564,22977,1,Y,Yes,12,3,80,1,8,3,2,8,7,1,7
140,Travel_Frequently,138,269,2,37,3,2,Laboratory Technician,2,4425,15986,5,Y,No,11,3,80,0,10,5,3,6,2,1,2
141,Non-Travel,926,270,3,36,3,2,Manufacturing Director,3,5265,16439,2,Y,No,16,3,80,1,11,5,3,5,3,0,2
142,Travel_Rarely,1261,271,4,88,3,2,Manufacturing Director,3,6553,7259,9,Y,No,14,3,80,0,14,3,3,1,0,0,0
143,Travel_Rarely,1084,273,4,54,3,2,Manufacturing Director,4,6261,4185,3,Y,No,18,3,80,1,9,3,1,7,7,1,7
144,Travel_Frequently,472,274,3,60,2,2,Manufacturing Director,1,4298,9679,5,Y,No,19,3,80,1,6,1,3,2,2,2,0
145,Non-Travel,1002,275,4,92,3,2,Manufacturing Director,4,6804,23793,1,Y,Yes,15,3,80,2,7,0,3,7,7,1,7
146,Travel_Frequently,878,277,4,43,3,1,Research Scientist,3,3815,5972,1,Y,Yes,17,3,80,1,5,4,4,5,3,2,0
147,Travel_Rarely,905,281,3,99,3,2,Laboratory Technician,4,2741,16523,8,Y,Yes,15,3,80,1,15,2,4,7,2,3,7
148,Travel_Rarely,1180,282,2,70,3,2,Healthcare Representative,1,6673,11354,7,Y,Yes,19,3,80,0,17,2,3,1,0,0,0
149,Travel_Rarely,1136,284,4,60,4,1,Research Scientist,2,2328,12392,1,Y,Yes,16,3,80,1,4,2,2,4,2,2,2
150,Travel_Frequently,635,286,2,73,3,1,Laboratory Technician,4,2153,7703,1,Y,No,13,3,80,0,8,2,3,8,1,1,7
151,Non-Travel,1151,287,4,63,2,2,Healthcare Representative,4,4876,14242,9,Y,No,14,3,80,1,5,5,1,3,2,0,2
152,Travel_Rarely,644,288,4,97,3,3,Healthcare Representative,1,9396,12368,7,Y,No,16,3,80,1,17,3,3,4,2,0,3
153,Non-Travel,829,292,3,88,2,3,Manufacturing Director,3,8474,20925,1,Y,No,22,4,80,0,12,2,3,11,8,5,8
154,Travel_Rarely,1469,296,2,81,2,3,Research Director,2,12490,15736,5,Y,No,16,3,80,2,16,5,1,10,9,4,7
155,Travel_Rarely,1005,297,4,88,3,1,Research Scientist,1,2657,8556,5,Y,Yes,11,3,80,0,8,5,3,5,2,0,4
156,Travel_Rarely,992,300,3,85,3,1,Research Scientist,3,2058,19757,0,Y,No,14,3,80,0,7,1,2,6,2,1,5
157,Travel_Rarely,1396,304,4,62,3,2,Laboratory Technician,2,5914,9945,8,Y,No,16,3,80,0,16,3,4,13,11,3,7
158,Travel_Rarely,147,305,3,47,2,1,Research Scientist,2,2622,13248,6,Y,No,21,4,80,0,7,3,3,3,2,1,1
159,Travel_Frequently,663,306,2,47,3,3,Research Director,4,12185,10056,1,Y,Yes,14,3,80,3,10,1,3,10,8,0,7
160,Non-Travel,979,308,3,90,1,2,Manufacturing Director,3,4345,4381,0,Y,No,12,3,80,1,6,2,3,5,4,1,4
161,Travel_Rarely,142,309,3,70,2,1,Research Scientist,4,2177,8456,3,Y,No,17,3,80,1,7,6,3,1,0,0,0
162,Travel_Rarely,896,315,3,86,2,1,Research Scientist,4,2389,14961,1,Y,Yes,13,3,80,0,4,3,2,4,3,0,1
163,Travel_Rarely,1323,316,3,89,2,1,Laboratory Technician,4,3212,3300,7,Y,No,15,3,80,0,6,3,2,2,2,2,2
164,Travel_Rarely,532,319,3,58,3,5,Manager,4,19232,4933,1,Y,No,11,3,80,0,22,3,3,22,17,11,15
165,Travel_Rarely,813,325,3,58,3,1,Laboratory Technician,4,2436,22149,5,Y,Yes,13,3,80,1,8,2,1,5,4,0,4
166,Travel_Rarely,465,328,1,39,3,1,Laboratory Technician,1,2707,21509,7,Y,No,20,4,80,0,13,3,4,9,7,1,7
167,Travel_Rarely,515,331,4,62,2,1,Laboratory Technician,3,3730,9571,0,Y,Yes,14,3,80,0,4,2,1,3,2,1,2
168,Travel_Rarely,1431,332,3,96,3,1,Laboratory Technician,3,2232,15417,7,Y,No,14,3,80,3,7,1,3,3,2,1,2
169,Travel_Rarely,1411,334,3,36,3,2,Research Scientist,1,3072,19877,2,Y,No,16,3,80,2,17,2,2,1,0,0,0
170,Travel_Rarely,1300,335,1,62,3,2,Research Scientist,4,3319,24447,1,Y,No,17,3,80,2,9,3,3,9,8,4,7
171,Travel_Rarely,252,336,3,70,4,5,Manager,4,19202,15970,0,Y,No,11,3,80,1,25,2,3,24,0,1,7
172,Travel_Frequently,1327,337,2,73,3,3,Research Director,3,13675,13523,9,Y,No,12,3,80,1,9,3,3,2,2,2,2
173,Travel_Rarely,832,338,3,63,2,1,Research Scientist,4,2911,14776,1,Y,No,13,3,80,1,2,2,2,2,2,0,2
174,Travel_Rarely,470,339,4,84,2,2,Manufacturing Director,1,5957,23687,6,Y,No,13,3,80,1,13,3,3,11,9,5,9
175,Travel_Rarely,1017,340,3,83,2,1,Research Scientist,1,3920,18697,2,Y,No,14,3,80,1,17,2,2,3,1,0,2
176,Travel_Frequently,1199,341,1,77,4,2,Manufacturing Director,3,6434,5118,4,Y,No,17,3,80,1,9,1,3,3,2,0,2
177,Travel_Frequently,504,342,1,61,3,3,Manufacturing Director,3,10048,22573,6,Y,No,11,3,80,2,17,5,3,1,0,0,0
178,Travel_Frequently,505,343,3,64,3,3,Healthcare Representative,3,10938,6420,0,Y,No,25,4,80,0,20,1,3,19,6,11,8
179,Travel_Rarely,665,346,3,60,3,1,Research Scientist,4,2340,22673,1,Y,No,19,3,80,0,6,1,3,6,5,1,5
180,Travel_Rarely,916,347,4,82,4,2,Research Scientist,1,6545,23016,3,Y,Yes,13,3,80,0,10,1,3,3,2,0,2
181,Travel_Rarely,685,350,1,62,3,2,Manufacturing Director,3,4898,7505,0,Y,No,12,3,80,2,5,3,3,4,2,1,2
182,Travel_Rarely,269,351,4,56,2,1,Laboratory Technician,1,2593,8007,0,Y,Yes,11,3,80,1,10,4,3,9,6,7,8
183,Travel_Rarely,1416,352,1,49,3,5,Research Director,3,19436,5949,0,Y,No,19,3,80,1,22,5,3,21,7,3,9
184,Travel_Rarely,833,353,3,96,3,1,Research Scientist,4,2723,23231,1,Y,No,11,3,80,0,1,0,2,1,0,0,0
185,Travel_Frequently,307,355,3,71,2,1,Laboratory Technician,2,3479,11652,0,Y,No,11,3,80,0,6,2,4,5,4,1,4
186,Travel_Frequently,1311,359,2,100,4,1,Laboratory Technician,2,2794,26062,1,Y,No,20,4,80,0,5,3,1,5,1,0,3
187,Travel_Rarely,128,362,4,84,2,2,Laboratory Technician,1,2176,19737,4,Y,No,13,3,80,0,9,5,3,6,2,0,4
188,Travel_Rarely,529,364,1,79,3,1,Laboratory Technician,3,3485,14935,2,Y,No,11,3,80,0,5,5,1,0,0,0,0
189,Travel_Rarely,1463,367,2,64,2,2,Healthcare Representative,4,5582,14408,0,Y,No,21,4,80,1,10,2,3,9,0,7,8
190,Non-Travel,675,369,2,85,4,2,Healthcare Representative,1,4000,18384,1,Y,No,12,3,80,2,6,2,3,6,3,1,5
191,Travel_Rarely,1385,372,3,79,3,4,Healthcare Representative,4,13496,7501,0,Y,Yes,14,3,80,0,21,2,3,20,7,4,10
192,Travel_Rarely,1403,373,4,47,3,1,Laboratory Technician,4,3210,20251,0,Y,No,11,3,80,1,16,4,3,15,13,10,11
193,Travel_Rarely,452,374,4,81,3,5,Manager,1,19045,18938,0,Y,Yes,14,3,80,0,37,2,3,36,10,4,13
194,Non-Travel,666,376,1,88,3,3,Manager,2,11849,10268,1,Y,Yes,12,3,80,1,10,2,2,10,7,9,9
195,Travel_Rarely,1158,377,4,94,3,1,Research Scientist,4,2070,2613,1,Y,No,23,4,80,1,5,3,2,5,2,0,4
196,Travel_Rarely,996,379,4,100,2,1,Research Scientist,3,3230,10531,1,Y,No,17,3,80,0,3,4,4,3,2,1,0
197,Non-Travel,728,380,1,80,3,3,Research Director,4,13603,11677,2,Y,Yes,18,3,80,2,15,2,3,5,2,0,2
198,Travel_Rarely,1315,381,2,71,4,3,Manager,2,11996,19100,7,Y,No,18,3,80,1,10,6,2,7,7,6,2
