,BusinessTravel,DailyRate,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
15,Travel_Frequently,853,74,2,71,3,3,Sales Executive,1,9069,11031,1,Y,No,22,4,80,1,9,3,2,9,8,1,8
16,Travel_Rarely,1435,81,1,99,3,3,Sales Executive,1,7637,2354,7,Y,No,11,3,80,0,28,3,2,21,16,7,9
17,Travel_Frequently,1225,91,1,57,2,2,Sales Executive,3,5473,24668,7,Y,No,11,3,80,0,20,2,2,4,3,1,3
18,Travel_Rarely,776,100,3,32,2,2,Sales Executive,1,4312,23016,0,Y,No,14,3,80,0,16,2,3,15,13,2,8
19,Travel_Rarely,111,106,1,70,3,3,Sales Executive,4,10239,18092,3,Y,No,14,3,80,1,24,4,3,1,0,1,0
20,Travel_Rarely,541,113,3,62,3,1,Sales Representative,1,2322,9518,3,Y,No,13,3,80,1,3,3,3,0,0,0,0
21,Travel_Rarely,669,118,3,64,2,3,Sales Executive,4,9619,13596,1,Y,No,16,3,80,0,9,3,3,9,8,4,7
22,Travel_Rarely,632,120,3,71,3,2,Sales Executive,4,5441,8423,0,Y,Yes,22,4,80,0,11,2,1,10,7,1,0
23,Travel_Rarely,1334,121,3,63,2,2,Sales Executive,2,5209,19760,1,Y,Yes,12,3,80,3,11,4,2,11,8,2,7
24,Travel_Rarely,1093,125,2,87,3,2,Sales Executive,3,5010,24301,1,Y,No,16,3,80,0,12,0,3,11,8,5,7
25,Travel_Rarely,1353,128,1,33,3,2,Sales Executive,3,4999,17519,0,Y,No,21,4,80,1,4,2,2,3,2,0,2
26,Non-Travel,120,129,2,43,3,2,Sales Executive,3,4221,8863,1,Y,No,15,3,80,0,5,3,4,5,4,0,4
27,Travel_Rarely,682,131,4,37,3,4,Sales Executive,3,13872,24409,0,Y,No,13,3,80,0,38,1,2,37,10,1,8
28,Travel_Rarely,240,142,3,46,2,2,Sales Executive,3,5744,26959,1,Y,Yes,11,3,80,0,6,1,3,6,4,0,3
29,Travel_Rarely,1189,152,3,87,3,3,Sales Executive,4,7428,14506,2,Y,No,12,3,80,0,12,3,3,5,3,1,3
30,Travel_Frequently,1467,154,2,92,3,3,Sales Executive,4,9738,22952,0,Y,No,14,3,80,1,10,6,3,9,7,2,8
31,Travel_Frequently,394,158,3,92,3,4,Manager,4,16959,19494,1,Y,Yes,12,3,80,2,25,3,4,25,12,4,12
32,Non-Travel,750,160,3,95,3,2,Sales Executive,2,6146,15480,0,Y,No,13,3,80,1,8,2,4,7,7,0,7
33,Travel_Rarely,249,163,2,76,1,2,Sales Executive,3,6172,20739,4,Y,Yes,18,3,80,0,12,3,2,7,7,7,7
34,Travel_Rarely,528,167,4,50,3,1,Sales Representative,3,1675,26820,1,Y,Yes,19,3,80,0,0,2,2,0,0,0,0
35,Travel_Frequently,809,174,3,77,3,3,Sales Executive,4,9208,6645,4,Y,No,11,3,80,0,16,3,3,2,2,2,1
36,Travel_Rarely,542,175,2,71,1,2,Sales Executive,3,4559,24788,3,Y,Yes,11,3,80,1,4,2,3,2,2,2,2
37,Travel_Rarely,802,176,3,96,3,3,Sales Executive,3,8189,21196,3,Y,Yes,13,3,80,1,12,2,3,9,7,0,7
38,Travel_Rarely,1329,182,4,47,2,2,Sales Executive,3,5902,14590,4,Y,No,14,3,80,1,17,1,4,15,11,5,9
39,Travel_Rarely,959,183,1,41,2,2,Sales Executive,3,8639,24835,2,Y,No,18,3,80,0,6,3,3,2,2,2,2
40,Travel_Frequently,689,195,4,35,1,2,Sales Executive,4,4668,22812,0,Y,No,17,3,80,3,9,2,4,8,7,0,7
41,Travel_Rarely,662,204,3,94,3,3,Sales Executive,2,7295,11439,1,Y,No,13,3,80,2,10,3,3,10,8,0,6
42,Travel_Rarely,1436,205,2,34,3,2,Sales Representative,3,2306,16047,2,Y,Yes,20,4,80,1,13,3,1,7,7,4,5
43,Travel_Frequently,967,207,2,43,3,3,Sales Executive,4,8998,15589,1,Y,No,14,3,80,0,9,2,3,9,8,3,7
44,Travel_Rarely,630,215,3,67,2,3,Sales Executive,4,10855,8552,7,Y,No,11,3,80,1,15,2,2,12,11,2,11
45,Travel_Frequently,303,216,3,75,3,1,Sales Representative,3,2231,11314,6,Y,No,18,3,80,1,6,3,3,4,3,1,2
46,Travel_Rarely,1339,228,2,41,3,3,Sales Executive,4,9419,8053,2,Y,No,12,3,80,1,12,2,3,10,9,7,4
47,Travel_Rarely,702,230,1,59,2,2,Sales Executive,4,8686,12930,4,Y,No,22,4,80,0,12,2,4,8,3,0,7
48,Travel_Frequently,602,235,3,100,1,1,Sales Representative,1,2325,20989,0,Y,No,21,4,80,0,1,5,4,0,0,0,0
49,Travel_Rarely,1268,240,3,30,3,2,Sales Executive,1,5006,6319,4,Y,Yes,11,3,80,1,9,3,4,5,4,0,3
50,Travel_Rarely,526,244,2,92,3,3,Sales Executive,1,10453,2137,1,Y,No,25,4,80,3,24,2,3,24,13,15,7
51,Travel_Rarely,1356,248,2,70,3,1,Sales Representative,2,3140,21728,1,Y,Yes,22,4,80,0,4,5,2,4,3,0,2
52,Travel_Rarely,121,283,2,35,3,3,Sales Executive,4,7639,24525,1,Y,No,22,4,80,3,10,3,2,10,4,1,9
53,Travel_Rarely,1045,291,4,32,1,3,Sales Executive,4,10400,25812,1,Y,No,11,3,80,0,14,2,2,14,8,9,8
54,Travel_Frequently,1242,293,4,90,3,2,Sales Executive,3,9981,12916,1,Y,No,14,3,80,0,7,2,3,7,7,0,7
55,Travel_Rarely,896,298,4,75,3,3,Manager,4,13591,14674,3,Y,Yes,18,3,80,0,16,3,3,1,0,0,0
56,Travel_Frequently,334,299,3,52,2,2,Sales Executive,1,6696,22967,5,Y,No,15,3,80,0,9,5,2,6,3,0,1
57,Non-Travel,1052,302,4,57,2,3,Sales Executive,4,8865,16840,6,Y,No,12,3,80,0,23,2,3,19,7,12,8
58,Travel_Rarely,1147,303,4,52,3,2,Sales Executive,1,5940,17011,2,Y,No,14,3,80,1,16,4,3,6,2,0,5
59,Travel_Rarely,119,307,1,76,3,3,Sales Executive,3,10609,9647,0,Y,No,12,3,80,2,17,6,2,16,10,5,13
60,Travel_Frequently,319,311,1,41,3,1,Sales Representative,4,2793,2539,4,Y,No,17,3,80,1,13,2,3,9,8,5,8
61,Travel_Frequently,1413,312,2,42,3,3,Sales Executive,4,7918,6599,1,Y,No,14,3,80,1,11,5,3,11,10,4,1
62,Travel_Frequently,944,314,3,92,3,3,Sales Executive,3,8789,9096,1,Y,No,14,3,80,0,10,3,4,10,7,0,8
63,Travel_Rarely,854,323,4,68,3,5,Manager,4,19517,24118,3,Y,No,11,3,80,1,32,3,2,7,0,0,6
64,Travel_Rarely,1034,327,4,80,3,4,Manager,4,16064,7744,5,Y,Yes,22,4,80,1,22,3,3,17,13,1,9
65,Non-Travel,771,329,1,79,2,5,Manager,3,19068,21030,1,Y,Yes,18,3,80,0,33,2,4,33,7,15,12
66,Travel_Rarely,1401,330,3,56,3,1,Sales Representative,2,3931,20990,2,Y,No,11,3,80,1,6,5,3,4,3,1,2
67,Non-Travel,976,333,3,100,3,2,Sales Executive,4,4465,12069,0,Y,No,18,3,80,0,4,2,3,3,2,2,2
68,Travel_Rarely,1247,349,4,45,3,2,Sales Executive,4,6931,10732,2,Y,No,14,3,80,1,10,2,3,3,2,0,2
69,Non-Travel,1327,361,4,39,2,2,Sales Executive,4,5249,19682,3,Y,No,18,3,80,1,13,0,3,8,7,7,5
70,Travel_Rarely,488,363,3,75,1,4,Manager,2,16872,14977,3,Y,Yes,12,3,80,1,28,2,2,7,7,7,7
71,Travel_Rarely,1210,366,1,78,2,2,Sales Executive,2,6644,3687,2,Y,No,19,3,80,2,10,2,3,0,0,0,0
72,Travel_Rarely,228,378,3,98,3,2,Sales Executive,4,6502,22825,4,Y,No,14,3,80,1,7,5,4,5,4,0,1
73,Travel_Rarely,322,382,1,44,4,2,Sales Executive,1,5605,19191,1,Y,Yes,24,4,80,1,8,3,3,8,0,7,7
74,Travel_Rarely,635,387,2,99,3,2,Sales Executive,3,4907,24532,1,Y,No,25,4,80,0,20,3,3,20,16,11,6
75,Travel_Frequently,442,388,2,44,3,2,Sales Executive,4,4554,20260,1,Y,No,18,3,80,0,10,3,2,10,7,0,9
76,Travel_Frequently,444,399,4,84,3,1,Sales Representative,2,2789,3909,1,Y,No,11,3,80,1,2,5,2,2,2,2,2
77,Travel_Rarely,950,401,4,48,2,2,Sales Executive,4,5828,8450,1,Y,Yes,12,3,80,0,8,0,3,8,7,7,4
78,Travel_Frequently,555,404,3,77,3,4,Sales Executive,2,13525,14864,5,Y,No,14,3,80,1,23,2,4,20,4,4,8
79,Travel_Rarely,1232,406,3,96,3,3,Sales Executive,2,8020,5100,0,Y,No,15,3,80,2,12,3,2,11,9,6,9
80,Travel_Rarely,334,410,4,88,3,4,Manager,2,16015,15896,1,Y,No,19,3,80,0,22,2,3,22,10,0,4
81,Travel_Rarely,812,411,4,69,2,1,Sales Representative,3,1200,9724,1,Y,No,12,3,80,0,0,2,3,0,0,0,0
82,Travel_Rarely,218,416,2,100,4,2,Sales Executive,4,6929,12241,4,Y,No,11,3,80,1,10,3,2,8,7,7,7
83,Travel_Rarely,906,420,4,91,2,2,Sales Executive,3,5484,16985,1,Y,No,14,3,80,1,13,3,2,13,8,4,8
84,Travel_Rarely,588,436,3,65,2,2,Sales Executive,2,5228,24624,1,Y,Yes,11,3,80,0,13,2,3,13,12,11,9
85,Travel_Rarely,1377,437,4,74,3,2,Sales Executive,3,4478,5242,1,Y,Yes,11,3,80,0,5,3,3,5,4,0,4
86,Travel_Rarely,691,438,4,73,3,2,Sales Executive,4,7547,7143,4,Y,No,12,3,80,3,13,3,3,7,7,1,7
87,Travel_Rarely,1162,445,4,41,3,2,Sales Executive,3,5238,17778,4,Y,Yes,18,3,80,0,12,3,2,1,0,0,0
88,Travel_Frequently,508,446,2,46,2,2,Sales Executive,4,4682,4317,3,Y,No,14,3,80,0,9,6,2,7,7,0,1
89,Non-Travel,210,449,3,73,3,2,Sales Executive,2,6349,22107,0,Y,Yes,13,3,80,1,6,0,3,5,4,1,4
90,Travel_Rarely,1124,453,2,57,1,2,Sales Executive,4,7457,13273,2,Y,Yes,22,4,80,3,6,2,2,4,3,0,2
91,Travel_Rarely,570,456,4,30,2,2,Sales Executive,3,6118,5431,1,Y,No,13,3,80,3,10,2,3,10,9,1,2
92,Travel_Rarely,1130,458,2,56,3,2,Sales Executive,2,6214,3415,1,Y,No,18,3,80,1,8,3,3,8,7,0,7
93,Travel_Rarely,144,463,4,39,2,2,Sales Executive,2,8268,11866,1,Y,Yes,14,3,80,2,7,2,3,7,7,1,7
94,Travel_Frequently,1309,467,2,99,3,2,Sales Representative,3,2976,25751,3,Y,No,19,3,80,0,5,3,3,0,0,0,0
95,Non-Travel,746,469,4,61,3,2,Sales Executive,3,4649,16928,1,Y,No,14,3,80,1,4,3,2,4,3,0,2
96,Travel_Rarely,530,473,1,91,3,3,Manager,3,12504,23978,3,Y,No,21,4,80,1,15,3,1,0,0,0,0
97,Non-Travel,641,475,4,85,3,2,Sales Executive,3,4736,6069,7,Y,Yes,12,3,80,1,4,2,4,2,2,2,2
98,Travel_Rarely,933,476,3,57,3,2,Sales Executive,3,5296,20156,1,Y,No,17,3,80,1,8,3,3,8,7,7,7
99,Travel_Frequently,756,478,1,99,2,1,Sales Representative,2,2174,9150,1,Y,Yes,11,3,80,0,3,3,3,3,2,1,2
100,Non-Travel,845,479,4,45,3,2,Sales Executive,4,6653,15276,4,Y,No,15,3,80,0,7,6,3,1,0,0,0
101,Travel_Frequently,541,481,1,48,2,3,Sales Executive,4,9699,7246,4,Y,No,11,3,80,1,16,2,3,13,9,1,12
102,Non-Travel,895,484,1,39,3,1,Sales Representative,4,2610,2851,1,Y,No,24,4,80,0,3,3,2,3,2,2,2
103,Travel_Rarely,350,485,4,34,3,1,Sales Representative,3,2851,9150,1,Y,Yes,13,3,80,0,1,2,3,1,0,0,0
104,Travel_Frequently,143,488,1,56,3,2,Sales Executive,2,9355,9558,1,Y,No,18,3,80,0,8,5,3,8,7,7,7
105,Travel_Rarely,575,492,3,68,2,2,Sales Executive,3,6380,6110,2,Y,Yes,12,3,80,2,8,6,3,6,4,1,0
106,Travel_Rarely,156,494,3,90,4,1,Sales Representative,2,2716,25422,1,Y,No,15,3,80,0,1,0,3,1,0,0,0
107,Travel_Rarely,304,498,2,92,3,2,Sales Executive,4,5253,20750,1,Y,No,16,3,80,0,7,1,3,7,5,0,7
108,Travel_Rarely,1178,500,3,87,3,2,Sales Executive,4,4936,14862,4,Y,No,11,3,80,1,18,2,2,7,7,0,7
109,Non-Travel,1362,502,1,67,4,2,Sales Executive,4,5304,4652,8,Y,Yes,13,3,80,0,9,3,2,5,2,0,4
110,Travel_Rarely,1371,507,4,77,3,2,Sales Executive,3,4260,5915,1,Y,Yes,12,3,80,1,5,2,4,5,2,0,3
111,Travel_Rarely,202,508,3,72,3,1,Sales Representative,2,2476,17434,1,Y,No,18,3,80,1,1,3,3,1,0,0,0
112,Travel_Rarely,164,513,2,61,2,3,Sales Executive,3,7596,3809,1,Y,No,13,3,80,2,10,2,3,10,9,9,0
113,Travel_Rarely,759,516,4,46,3,2,Sales Executive,2,5715,22553,7,Y,No,12,3,80,2,8,5,3,5,4,1,3
114,Non-Travel,1381,523,3,72,3,2,Sales Executive,3,6538,12740,9,Y,No,15,3,80,1,6,3,3,3,2,1,2
115,Travel_Rarely,891,527,2,99,2,2,Sales Executive,4,4487,12090,1,Y,Yes,11,3,80,0,5,3,3,5,4,1,3
116,Travel_Frequently,906,532,3,86,4,4,Sales Executive,1,13212,18256,9,Y,No,11,3,80,3,36,0,2,7,7,7,7
117,Travel_Rarely,1082,533,2,83,3,2,Sales Executive,3,6577,19558,0,Y,No,11,3,80,0,6,6,3,5,4,4,4
118,Travel_Rarely,645,534,2,49,4,3,Sales Executive,1,8392,19566,1,Y,No,16,3,80,1,10,2,3,10,7,0,7
119,Travel_Rarely,1448,554,1,62,3,1,Sales Representative,2,3202,21972,1,Y,Yes,16,3,80,0,6,4,3,5,3,1,4
120,Travel_Frequently,296,555,4,33,1,1,Sales Representative,3,2351,12253,0,Y,No,16,3,80,1,3,3,2,2,2,1,0
121,Travel_Rarely,1398,558,3,79,3,5,Manager,3,18041,13022,0,Y,No,14,3,80,0,21,2,3,20,15,1,12
122,Non-Travel,1398,567,3,69,3,3,Sales Executive,1,8412,2890,0,Y,No,11,3,80,0,10,3,3,9,8,7,8
123,Travel_Rarely,210,568,1,56,2,4,Manager,4,14118,22102,3,Y,No,12,3,80,1,32,3,2,1,0,0,0
124,Travel_Frequently,1499,573,3,80,2,3,Sales Executive,1,10266,2845,4,Y,No,19,3,80,0,22,5,4,18,13,13,11
125,Travel_Rarely,1125,580,3,94,2,3,Sales Executive,4,9071,11563,2,Y,Yes,19,3,80,1,15,3,3,3,2,1,2
126,Travel_Rarely,413,585,4,57,3,1,Sales Representative,2,2983,18398,0,Y,No,14,3,80,0,4,3,3,3,2,1,2
127,Non-Travel,635,592,2,32,3,3,Sales Executive,4,9980,15318,1,Y,No,14,3,80,0,10,3,2,10,3,9,7
128,Travel_Rarely,163,595,2,37,3,2,Sales Executive,4,4051,19658,2,Y,No,14,3,80,1,14,2,3,9,7,6,7
129,Travel_Rarely,1117,597,1,83,3,4,Manager,2,16835,9873,3,Y,No,23,4,80,0,37,2,3,10,9,7,7
130,Non-Travel,267,599,4,56,3,2,Sales Executive,4,6230,13430,7,Y,No,14,3,80,0,16,3,3,14,3,1,10
131,Travel_Rarely,619,600,2,85,3,2,Sales Executive,3,4717,18659,9,Y,No,11,3,80,0,15,2,3,11,9,6,9
132,Travel_Rarely,828,604,2,77,3,2,Sales Executive,4,6582,8346,4,Y,Yes,13,3,80,0,10,2,4,6,5,0,5
133,Travel_Rarely,561,606,4,61,3,2,Sales Executive,2,4805,16177,0,Y,No,19,3,80,1,9,3,4,8,7,3,7
134,Travel_Rarely,688,613,3,44,2,3,Manager,4,11557,25291,9,Y,No,21,4,80,1,10,3,2,5,4,0,1
135,Travel_Frequently,1306,614,2,69,3,1,Sales Representative,2,1878,8059,1,Y,Yes,14,3,80,0,0,3,3,0,0,0,0
136,Non-Travel,1094,615,3,58,1,3,Sales Executive,1,10932,11373,3,Y,No,15,3,80,1,20,2,3,1,0,0,1
137,Travel_Rarely,775,618,1,45,3,2,Sales Executive,3,4306,4267,5,Y,No,12,3,80,2,8,5,3,0,0,0,0
138,Travel_Rarely,195,620,1,80,3,2,Sales Executive,3,4859,6698,1,Y,No,16,3,80,0,5,3,3,5,4,0,3
139,Travel_Rarely,258,621,4,74,4,2,Sales Executive,4,5337,19921,1,Y,No,12,3,80,0,10,3,3,10,7,5,7
140,Travel_Rarely,1276,625,2,91,3,4,Manager,1,16595,5626,7,Y,No,16,3,80,1,22,2,3,18,16,11,8
141,Non-Travel,142,626,1,69,3,3,Sales Executive,2,8834,24666,1,Y,No,13,3,80,1,9,6,3,9,5,7,7
142,Non-Travel,1474,631,4,60,4,2,Sales Executive,3,4707,23914,8,Y,No,12,3,80,0,6,2,3,4,2,1,2
143,Travel_Frequently,535,632,4,38,3,1,Sales Representative,4,2400,5530,0,Y,No,13,3,80,2,3,3,3,2,2,2,1
144,Travel_Rarely,703,641,1,66,3,2,Sales Executive,2,6272,7428,1,Y,No,20,4,80,2,6,5,4,5,3,1,4
145,Travel_Rarely,622,645,2,40,3,1,Sales Representative,3,2096,26376,1,Y,No,11,3,80,0,7,1,3,7,4,0,6
146,Travel_Frequently,448,648,2,74,2,1,Sales Representative,1,2033,14470,1,Y,No,18,3,80,1,1,2,4,1,0,0,0
147,Travel_Rarely,1365,650,2,46,3,2,Sales Executive,1,4233,11512,2,Y,No,17,3,80,0,9,2,1,3,1,1,2
148,Travel_Rarely,525,653,1,66,4,2,Sales Executive,4,5460,6219,4,Y,No,22,4,80,2,13,4,4,7,7,5,7
149,Travel_Rarely,558,656,4,75,3,2,Sales Executive,3,9602,3010,4,Y,Yes,11,3,80,1,17,3,2,3,0,1,0
150,Travel_Rarely,204,666,3,31,3,1,Sales Representative,3,2579,2912,1,Y,Yes,18,3,80,2,8,3,3,8,2,0,6
151,Travel_Rarely,1420,667,3,85,3,1,Sales Representative,1,3041,16346,0,Y,No,11,3,80,1,5,3,3,4,3,0,2
152,Travel_Rarely,1343,669,3,49,3,1,Sales Representative,3,3447,24444,1,Y,No,11,3,80,0,3,2,3,3,2,1,2
153,Travel_Rarely,1216,677,3,39,3,2,Sales Executive,3,7104,20431,0,Y,No,12,3,80,0,6,3,3,5,0,1,2
154,Travel_Rarely,238,682,4,34,3,2,Sales Executive,1,8381,7507,7,Y,No,20,4,80,0,18,2,4,14,7,8,10
155,Travel_Frequently,306,684,1,100,3,2,Sales Executive,1,4286,5630,2,Y,No,14,3,80,2,5,4,3,1,1,0,0
156,Travel_Rarely,1176,690,2,62,3,2,Sales Executive,3,5561,3487,1,Y,No,14,3,80,1,6,5,2,6,0,1,2
157,Travel_Rarely,810,707,4,57,4,2,Sales Executive,2,4851,15678,0,Y,No,22,4,80,1,4,4,3,3,2,1,2
158,Travel_Rarely,243,709,4,46,2,2,Sales Executive,4,4028,7791,0,Y,No,20,4,80,0,8,2,3,7,7,0,5
159,Travel_Rarely,817,712,2,56,4,2,Sales Executive,2,8120,18597,3,Y,No,12,3,80,0,12,3,3,2,2,2,2
160,Travel_Frequently,1410,714,4,71,4,2,Sales Executive,4,4647,16673,1,Y,Yes,20,4,80,2,6,3,3,6,5,0,4
161,Travel_Rarely,693,720,1,65,3,2,Sales Executive,3,4577,24785,9,Y,No,14,3,80,0,4,3,3,2,2,2,0
162,Travel_Rarely,929,722,4,55,3,2,Sales Executive,4,5396,21703,1,Y,No,12,3,80,0,10,2,2,10,7,0,8
163,Travel_Frequently,562,723,2,50,3,2,Sales Executive,3,6796,23452,3,Y,Yes,14,3,80,1,18,4,3,4,3,1,3
164,Travel_Rarely,703,728,4,42,3,2,Sales Executive,1,4960,11825,2,Y,No,12,3,80,0,20,2,3,7,7,1,7
165,Travel_Frequently,580,729,4,48,2,3,Sales Executive,1,10475,23772,5,Y,Yes,21,4,80,1,20,2,3,18,13,1,12
166,Travel_Rarely,1179,732,1,84,3,2,Sales Executive,1,5405,11924,8,Y,No,14,3,80,0,10,1,3,2,2,2,2
167,Travel_Rarely,316,738,4,54,3,1,Sales Representative,2,3875,9983,7,Y,No,15,3,80,1,4,2,3,2,2,2,2
168,Travel_Frequently,217,746,4,49,3,4,Sales Executive,3,13770,10225,9,Y,Yes,12,3,80,2,28,2,2,22,2,11,13
169,Travel_Rarely,501,747,3,99,3,2,Sales Executive,4,5304,25275,7,Y,No,23,4,80,1,10,2,2,8,7,7,7
170,Travel_Rarely,1396,749,3,99,3,1,Sales Representative,3,2642,2755,1,Y,No,11,3,80,0,1,6,3,1,0,0,0
171,Travel_Frequently,775,754,4,47,2,2,Sales Executive,4,6804,23683,3,Y,No,18,3,80,1,7,5,3,2,2,2,2
172,Travel_Rarely,1090,766,4,83,3,1,Sales Representative,2,2297,17967,1,Y,No,14,3,80,2,2,2,3,2,2,2,2
173,Travel_Rarely,621,776,3,31,2,4,Manager,1,16856,10084,1,Y,No,11,3,80,0,34,3,4,34,6,1,16
174,Travel_Rarely,883,781,3,32,3,2,Sales Executive,4,6180,22807,1,Y,No,23,4,80,0,6,5,2,6,5,1,4
175,Travel_Rarely,954,783,2,46,1,2,Sales Representative,3,6632,12388,0,Y,No,13,3,80,0,9,3,3,8,7,3,1
176,Travel_Frequently,719,785,2,77,4,2,Sales Executive,3,6397,10339,4,Y,Yes,12,3,80,0,8,2,3,5,4,1,3
177,Travel_Rarely,304,786,4,60,3,2,Sales Executive,4,6274,18686,1,Y,No,22,4,80,0,6,5,3,6,5,1,4
178,Non-Travel,1434,789,1,76,2,3,Sales Executive,1,7587,14229,1,Y,No,15,3,80,0,10,1,3,10,7,0,9
179,Travel_Rarely,1146,796,4,38,2,2,Sales Executive,1,5326,3064,6,Y,No,17,3,80,0,6,2,2,4,3,1,2
180,Travel_Frequently,829,800,3,84,3,2,Sales Executive,4,4342,24008,0,Y,No,19,3,80,1,5,3,3,4,2,1,1
181,Travel_Rarely,384,805,1,72,3,1,Sales Representative,4,2572,20317,1,Y,No,16,3,80,1,3,1,2,3,2,0,2
182,Travel_Rarely,1111,808,3,93,3,2,Sales Executive,1,6500,13305,5,Y,No,17,3,80,1,6,1,3,3,2,1,2
183,Travel_Rarely,118,819,1,69,3,2,Sales Executive,1,5324,26507,5,Y,No,15,3,80,0,6,3,3,3,2,0,2
184,Travel_Rarely,1184,840,3,43,3,3,Sales Executive,4,7654,5860,1,Y,No,18,3,80,2,9,3,4,9,8,7,7
185,Travel_Rarely,436,842,3,37,3,2,Sales Executive,4,5160,21519,4,Y,No,16,3,80,0,12,3,2,9,7,7,3
186,Travel_Rarely,760,846,2,81,3,2,Sales Executive,2,4779,3698,1,Y,Yes,20,4,80,0,8,2,3,8,7,7,5
187,Travel_Rarely,1318,851,1,66,3,4,Manager,3,16307,5594,2,Y,No,14,3,80,1,29,2,2,20,6,4,17
188,Travel_Rarely,586,855,1,48,4,2,Sales Executive,1,4037,21816,1,Y,No,22,4,80,1,9,5,3,9,8,0,8
189,Travel_Rarely,928,857,2,56,3,2,Sales Executive,4,6201,2823,1,Y,Yes,14,3,80,1,18,1,2,18,14,4,11
190,Travel_Rarely,117,859,2,73,3,2,Sales Executive,4,4403,9250,2,Y,No,11,3,80,1,8,3,2,5,2,0,3
191,Travel_Rarely,661,862,1,78,2,3,Sales Executive,4,10934,20715,7,Y,Yes,18,3,80,1,35,3,3,5,2,0,4
192,Travel_Rarely,930,864,4,74,3,3,Sales Executive,1,10761,19239,4,Y,Yes,12,3,80,1,18,2,3,5,4,0,2
193,Travel_Rarely,342,868,4,66,2,2,Sales Executive,3,6334,24558,4,Y,No,19,3,80,2,9,2,3,1,0,0,0
194,Travel_Rarely,141,879,3,98,3,2,Sales Executive,1,4194,14363,1,Y,Yes,18,3,80,0,5,3,3,5,3,0,3
195,Travel_Rarely,583,885,3,87,2,2,Sales Executive,1,4256,18154,1,Y,No,12,3,80,0,5,1,4,5,2,0,3
196,Travel_Frequently,379,889,2,48,3,2,Sales Executive,2,6524,8891,1,Y,No,14,3,80,1,10,3,3,10,8,5,3
197,Travel_Rarely,395,893,2,98,2,1,Sales Representative,2,2899,12102,0,Y,No,19,3,80,1,3,3,3,2,2,1,2
198,Travel_Rarely,341,896,2,48,2,1,Sales Representative,3,2800,23522,6,Y,Yes,19,3,80,3,5,3,3,3,2,0,2
199,Travel_Rarely,868,897,1,73,3,4,Sales Executive,4,11836,22789,5,Y,No,14,3,80,1,28,3,3,2,0,2,2
200,Travel_Frequently,1231,900,3,54,3,1,Sales Representative,4,2973,21222,5,Y,No,15,3,80,1,10,3,3,5,4,0,0
201,Travel_Rarely,249,903,3,35,3,2,Sales Executive,4,4537,17783,0,Y,Yes,22,4,80,1,8,2,3,7,6,7,7
